Facility Name,CMS Certification Number (CCN),Address,City,State,Zip Code,Network,VAT Catheter Measure Score Applied,National Average VAT Catheter Measure Score,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Measure Score Applied,National Average VAT Fistula Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Achievement Period Numerator,Kt/V Comprehensive Achievement Period Denominator,Kt/V Comprehensive Improvement Period Denominator,Kt/V Comprehensive Measure Score Applied,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,Hypercalcemia Reason for No Score (See Footnotes File),Hypercalcemia Achievement Measure Rate,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Measure Score Applied,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score Applied,National Average NHSN BSI Measure Score,NHSN Dialysis Event Reporting Number of Months Reported,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),ICH CAHPS Achievement Period Count of Completed Surveys,ICH CAHPS Improvement Period Count of Completed Surveys,ICH CAHPS Measure Score Applied,National Average ICH CAHPS Measure Score,ICH CAHPS Neph Comm and Caring Measure Score Applied,Serum Phosphorus Measure Score,National Average Serum Phosphorus Measure Score,National Average Anemia Management Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Period Numerator,SRR Measure Score Applied,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,STrR Achievement Measure Ratio,Number of Patient-Years at Risk in STrR Achievement Period,STrR Achievement Period Numerator,STrR Achievement Period Denominator,STrR Improvement Measure Ratio,STrR Measure Score Applied,National Average STrR Measure Score,SHR Achievement Period Numerator,SHR Achievement Period Denominator,SHR Measure Score Applied,National Average SHR Measure Score,Pain Assessment and Follow-up Measure Score,Ultrafiltration Measure Score,Ultrafiltration Reason for No Score (See Footnotes File),National Average Ultrafiltration Measure Score,Total-Performance-Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
SEBASTIAN DIALYSIS,102727,1424 US HWY 1 SUITE C ,SEBASTIAN,FL,32958,7,Achievement,5,117,247,Achievement,5,5,496,507,841,Achievement,7,8,-,0.39%,2,512,Achievement,10,Achievement,6,12,8,7,No Score,5,22,38,N/A,5,N/A,9,9,10,-,20,14.184,36,Achievement,5,10,0.326,23.40041068,3,9.189,1.151,Achievement,5,71,69.886,Achievement,5,10,8,-,4,61,No Reduction,9/24/1997,DAVITA,10/6/2005
PALM COAST DIALYSIS,102728,13 KINGSWOOD DR SUITE A ,PALM COAST,FL,32137,7,Achievement,5,519,672,Achievement,5,5,980,1009,963,Achievement,7,0,-,3.93%,39,993,Achievement,10,Improvement,6,12,6,7,8,-,48,47,Achievement,5,Achievement,10,9,10,-,15,21.944,33,Achievement,5,6,0.901,44.79945243,16,17.761,1.773,Improvement,5,102,128.885,Achievement,5,10,0,-,4,74,No Reduction,11/29/1997,DAVITA,2/26/2008
OCALA REGIONAL KIDNEY CENTER SOUTH,102731,13940 US HWY 441 BLDG 400 ,LADY LAKE,FL,32159,7,Achievement,5,495,787,Achievement,5,5,1011,1031,1173,Achievement,7,8,-,0.29%,3,1023,Achievement,10,Achievement,6,12,9,7,3,-,54,70,Achievement,5,Achievement,10,9,10,-,36,36.423,46,Achievement,5,2,1.355,62.45037645,28,20.671,1.635,Improvement,5,158,135.87,Achievement,5,10,5,-,4,53,0.50%,3/19/1998,DAVITA,5/15/1999
NORTH MELBOURNE DIALYSIS INC,102732,14 SUNTREE PLACE SUITE 102 ,MELBOURNE,FL,32940,7,Achievement,5,208,311,Achievement,5,5,442,452,200,Achievement,7,8,-,0.44%,2,453,Achievement,10,Achievement,6,12,4,7,No Score,5,24,28,N/A,5,N/A,10,9,10,-,12,13.961,5,Achievement,5,8,0.613,14.20944559,4,5.524,2.087,Achievement,5,37,50.748,Achievement,5,10,6,-,4,69,No Reduction,5/8/1998,MELBOURNE KIDNEY CENTERS,8/8/2003
LAKEWOOD RANCH DIALYSIS,102733,8470 COOPER CREEK BLVD ,UNIVERSITY PARK,FL,34201,7,Achievement,5,240,384,Achievement,5,5,496,512,536,Achievement,7,9,-,0.19%,1,513,Achievement,10,Achievement,6,12,4,7,No Score,5,23,32,N/A,5,N/A,10,9,10,-,25,19.845,21,Achievement,5,7,0.761,23.74264203,7,9.196,0.732,Achievement,5,73,64.098,Achievement,5,10,9,-,4,52,0.50%,4/6/1998,DAVITA,8/30/2013
BMA - SOUTH COLLIER,102736,12703 TAMIAMI TRAIL EAST # 121 ,NAPLES,FL,34113,7,Achievement,5,111,142,Achievement,5,5,165,167,128,Achievement,7,0,-,4.35%,8,184,Achievement,10,Achievement,6,12,7,7,No Score,5,<11,14,N/A,5,N/A,10,9,10,-,4,4.323,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,14,15.265,Achievement,5,10,9,-,4,81,No Reduction,3/30/1998,FRESENIUS MEDICAL CARE,12/21/2005
FOUR FREEDOMS DIALYSIS,102737,289A SW RANGE AVE ,MADISON,FL,32340,7,Achievement,5,224,359,Achievement,5,5,526,532,502,Achievement,7,10,-,0.00%,0,548,Achievement,10,Achievement,6,12,5,7,10,-,33,25,Achievement,5,Achievement,10,9,10,-,13,12.941,12,Achievement,5,5,0.895,22.6091718,8,8.941,1.124,Achievement,5,43,53.651,Achievement,5,10,9,-,4,74,No Reduction,10/5/1998,DAVITA,10/6/2005
DADELAND DIALYSIS,102738,9175 SW 87TH AVE ,MIAMI,FL,33176,7,Achievement,5,135,209,Achievement,5,5,249,254,320,Achievement,7,4,-,1.56%,4,257,Achievement,10,Achievement,6,12,8,7,No Score,5,<11,18,N/A,5,N/A,7,9,10,-,10,8.54,9,Achievement,5,5,0.935,14.85284052,6,5.054,1.307,Achievement,5,30,34.738,Achievement,5,10,8,-,4,60,No Reduction,11/10/1998,DAVITA,5/1/2004
UNIVERSAL KIDNEY CENTER INC,102739,4875 NE 20TH TERRACE ,FORT LAUDERDALE,FL,33308,7,N/A,5,,,N/A,5,5,81,92,119,Improvement,7,6,-,0.83%,2,102,Achievement,10,Achievement,6,4,0,7,0,-,N/A,N/A,Achievement,5,Achievement,No Score,9,10,-,4,2.563,4,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,15,8.831,Improvement,5,10,4,-,4,34,1.50%,10/14/1998,NOT A CHAIN,5/15/1999
HUNTERS CREEK DIALYSIS,102740,14050 TOWNLOOP BLVD #104A ,ORLANDO,FL,32837,7,Achievement,5,697,944,Achievement,5,5,891,911,916,Achievement,7,9,-,0.16%,2,1247,Achievement,10,Achievement,6,12,5,7,4,-,44,42,Achievement,5,Achievement,9,9,10,-,69,46.704,72,Achievement,5,5,0.931,67.33470226,22,23.628,1.159,Achievement,5,206,147.375,Achievement,5,10,8,-,4,50,0.50%,10/28/1998,DAVITA,2/15/2012
CLEWISTON DIALYSIS CENTER,102741,851 W VENTURA AVE ,CLEWISTON,FL,33440,7,Achievement,5,293,449,Achievement,5,5,471,475,183,Achievement,7,9,-,0.19%,1,513,Achievement,10,Achievement,6,12,9,7,No Score,5,14,<11,N/A,5,N/A,10,9,10,-,10,12.552,0,Achievement,5,9,0.537,26.12731006,5,9.318,1.041,Achievement,5,48,57.833,Achievement,5,10,7,-,4,82,No Reduction,10/21/1998,AMERICAN RENAL ASSOCIATES,12/18/2014
BAY BREEZE DIALYSIS CLINIC INC,102742,11550 ULMERTON RD ,LARGO,FL,33778,7,Achievement,5,313,495,Achievement,5,5,932,992,466,Achievement,7,5,-,1.27%,13,1020,Achievement,10,Achievement,6,12,8,7,5,-,43,48,Achievement,5,Achievement,9,9,10,-,50,43.815,25,Achievement,5,6,0.904,29.26214921,11,12.164,1.987,Improvement,5,127,113.611,Achievement,5,10,3,-,4,55,0.50%,12/11/1998,DAVITA,10/20/2014
FORT MYERS SOUTH DIALYSIS,102744,8850 GLADIOLUS DR ,FORT MYERS,FL,33908,7,Achievement,5,347,657,Achievement,5,5,862,872,786,Achievement,7,9,-,0.12%,1,867,Achievement,10,Achievement,6,12,9,7,5,-,43,50,Achievement,5,Achievement,10,9,10,-,17,19.135,22,Achievement,5,9,0.475,40.98836413,7,14.734,0.298,Achievement,5,74,107.195,Achievement,5,10,6,-,4,73,No Reduction,11/25/1998,DAVITA,2/21/2013
RCG - SACRED HEART - ADULT DIALYSIS,102745,5401 CORPORATE WOODS DR STE 850 ,PENSACOLA,FL,32504,7,Achievement,5,703,999,Achievement,5,5,1141,1198,1081,Achievement,7,6,-,1.06%,13,1230,Achievement,10,Achievement,6,12,8,7,2,-,36,44,Achievement,5,Achievement,10,9,10,-,38,41.2,56,Achievement,5,7,0.701,71.40041068,20,28.513,0.629,Achievement,5,160,172.077,Achievement,5,10,0,-,4,57,0.50%,1/26/1999,FRESENIUS MEDICAL CARE,12/3/2015
BMA - WEST DADE,102746,2791 SW 137TH AVE ,MIAMI,FL,33175,7,Achievement,5,218,363,Achievement,5,5,584,589,323,Achievement,7,7,-,0.63%,4,638,Achievement,10,Achievement,6,12,7,7,No Score,5,15,29,N/A,5,N/A,9,9,10,-,30,23.788,8,Achievement,5,0,1.514,23.90691307,13,8.589,1.491,Achievement,5,95,54.931,Achievement,5,10,7,-,4,48,1.00%,2/4/1999,FRESENIUS MEDICAL CARE,5/17/2005
CONTINENTAL DIALYSIS CARE,102747,2000 CONTINENTAL DR STE A ,WEST PALM BEACH,FL,33407,7,Achievement,5,675,1019,Achievement,5,5,1307,1349,1191,Achievement,7,5,-,1.26%,18,1424,Achievement,10,Achievement,6,12,9,7,10,-,39,26,Achievement,5,Achievement,8,9,10,-,91,64.429,59,Achievement,5,1,1.369,68.03832991,37,27.026,1.287,Achievement,5,249,187.351,Achievement,5,10,0,-,4,55,0.50%,3/22/1999,AMERICAN RENAL ASSOCIATES,3/12/2018
TEMPLE TERRACE DIALYSIS,102748,11306 53RD ST ,TEMPLE TERRACE,FL,33617,7,Achievement,5,356,665,Achievement,5,5,1228,1271,1245,Achievement,7,6,-,0.87%,11,1271,Achievement,10,Achievement,6,12,6,7,5,-,48,59,Achievement,5,Achievement,10,9,10,-,52,46.438,63,Achievement,5,5,0.912,52.32306639,16,17.548,1.266,Achievement,5,201,144.312,Improvement,5,10,3,-,4,49,0.50%,4/8/1999,DAVITA,10/6/2005
RCG - SACRED HEART - PED DIALYSIS,102749,5151 N 9TH AVE ,PENSACOLA,FL,32504,7,N/A,5,,,N/A,5,5,,,,N/A,7,No Score,1,No Rate,,,N/A,10,N/A,6,,,7,No Score,10,<11,<11,N/A,5,N/A,No Score,9,10,13,,,,N/A,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,,,N/A,5,No Score,No Score,1,4,,No Reduction,1/26/1999,FRESENIUS MEDICAL CARE,6/24/2003
ORLANDO SOUTHWEST DIALYSIS,102750,6925 LAKE ELLENOR DR STE 650 ,ORLANDO,FL,32809,7,Achievement,5,229,405,Achievement,5,5,686,695,738,Achievement,7,3,-,1.70%,12,704,Achievement,10,Achievement,6,12,8,7,5,-,38,46,Achievement,5,Achievement,9,9,10,-,35,26.763,32,Achievement,5,3,1.209,34.00410678,15,12.411,0.857,Achievement,5,123,76.648,Achievement,5,10,3,-,4,52,0.50%,4/22/1999,DAVITA,10/6/2005
CELEBRATION DIALYSIS,102751,1154 CELEBRATION BLVD ,CELEBRATION,FL,34747,7,Achievement,5,116,265,Achievement,5,5,471,480,472,Achievement,7,0,-,2.94%,14,477,Achievement,10,Achievement,6,12,6,7,No Score,5,13,17,N/A,5,N/A,8,9,10,-,23,19.589,20,Achievement,5,2,1.267,21.29226557,9,7.104,0.576,Achievement,5,75,50.208,Improvement,5,9,2,-,4,39,1.00%,5/7/1999,DAVITA,3/7/2009
BONITA SPRINGS DIALYSIS,102752,9134 BONITA BEACH RD ,BONITA SPRINGS,FL,34135,7,Achievement,5,341,530,Achievement,5,5,659,679,330,Achievement,7,6,-,1.03%,7,678,Achievement,10,Achievement,6,12,6,7,No Score,5,29,36,N/A,5,N/A,9,9,10,-,14,14.921,7,Achievement,5,10,0.406,25.79876797,4,9.849,0.407,Achievement,5,48,73.161,Achievement,5,10,3,-,4,72,No Reduction,6/7/1999,DAVITA,10/6/2005
"BRIGHT KIDNEY CARE, LLC",102754,2000 HARTMAN RD STE 2,FORT PIERCE,FL,34947,7,Achievement,5,650,1021,Achievement,5,5,1351,1456,1421,Achievement,7,7,-,0.64%,10,1567,Achievement,10,Achievement,6,12,4,7,6,-,50,62,Achievement,5,Achievement,10,9,10,-,65,53.363,85,Achievement,5,5,0.882,85.25393566,27,30.62,1.412,Achievement,5,231,195.045,Improvement,5,10,0,-,4,48,1.00%,10/11/1999,AMERICAN RENAL ASSOCIATES,9/6/2017
ORANGE PARK KIDNEY CENTER,102756,2061 PROFESSIONAL CENTER DR ,ORANGE PARK,FL,32073,7,Improvement,5,206,444,Achievement,5,5,590,630,370,Achievement,7,4,-,1.54%,10,651,Achievement,10,Achievement,6,12,8,7,No Score,5,15,28,N/A,5,N/A,10,9,10,-,53,36.468,22,Achievement,5,7,0.659,28.29842574,7,10.621,0.946,Achievement,5,91,75.214,Achievement,5,10,0,-,4,38,1.50%,9/9/1998,FRESENIUS MEDICAL CARE,4/6/2016
ARCADIA DIALYSIS CENTER,102757,1341 E OAK ST ,ARCADIA,FL,34266,7,Achievement,5,366,575,Achievement,5,5,658,668,286,Achievement,7,9,-,0.15%,1,680,Achievement,10,Achievement,6,12,5,7,No Score,5,21,36,N/A,5,N/A,10,9,10,-,36,22.555,8,Achievement,5,1,1.394,33.64544832,18,12.915,0.485,Achievement,5,86,75.46,Achievement,5,10,6,-,4,49,0.50%,7/7/1999,DAVITA,7/24/2014
NORTH OKALOOSA DIALYSIS CENTER,102759,320 W REDSTONE AVE ,CRESTVIEW,FL,32536,7,Achievement,5,124,249,Achievement,5,5,266,270,293,Achievement,7,10,-,0.00%,0,268,Achievement,10,Improvement,6,12,5,7,No Score,5,<11,17,N/A,5,N/A,10,9,10,-,12,10.625,10,Achievement,5,2,1.237,17.7303217,10,6.964,1.467,Achievement,5,38,44.153,Achievement,5,10,10,-,4,61,No Reduction,7/21/1999,DAVITA,9/2/2005
DSI - TAMPA CENTRAL,102761,4705 N ARMENIA AVE ,TAMPA,FL,33603,7,Achievement,5,372,685,Achievement,5,5,1184,1213,1189,Achievement,7,6,-,0.90%,11,1229,Achievement,10,Achievement,6,12,10,7,7,-,42,43,Achievement,5,Achievement,10,9,10,-,50,40.388,39,Achievement,5,7,0.759,60.38603696,16,21.078,1.072,Achievement,5,175,153.428,Achievement,5,10,5,-,4,62,No Reduction,9/1/1999,NOT A CHAIN,4/2/2006
RAI CARE CENTERS - HAINES CITY,102762,110 PATTERSON RD ,HAINES CITY,FL,33844,7,Achievement,5,273,466,Achievement,5,5,717,738,373,Achievement,7,3,-,1.87%,14,747,Achievement,10,Achievement,6,12,8,7,7,-,31,30,Achievement,5,Achievement,10,9,10,-,31,22.16,12,Achievement,5,3,1.156,25.36892539,10,8.648,0.748,Achievement,5,86,66.505,Achievement,5,9,0,-,4,52,0.50%,11/1/1999,FRESENIUS MEDICAL CARE,12/31/2015
FMC DIALYSIS SERVICES - ALACHUA,102763,11550 RESEARCH CIR ,ALACHUA,FL,32615,7,Achievement,5,167,305,Improvement,5,5,430,443,230,Achievement,7,6,-,0.90%,4,446,Achievement,10,Achievement,6,12,6,7,No Score,5,19,26,N/A,5,N/A,8,9,10,-,10,8.991,9,Achievement,5,10,0.159,17.39356605,1,6.288,0.43,Achievement,5,34,37.146,Achievement,5,10,1,-,4,62,No Reduction,11/9/1999,FRESENIUS MEDICAL CARE,1/2/1980
LAKELAND SOUTH DIALYSIS,102764,4774 SOUTH FLORIDA AVENUE ,LAKELAND,FL,33813,7,Achievement,5,451,683,Achievement,5,5,1049,1150,1076,Achievement,7,9,-,0.08%,1,1226,Achievement,10,Achievement,6,12,6,7,5,-,43,47,Achievement,5,Achievement,10,9,10,-,43,38.117,43,Achievement,5,3,1.195,53.83162218,23,19.242,1.425,Achievement,5,165,139.581,Achievement,5,10,2,-,4,45,1.00%,12/10/1999,DAVITA,12/9/2013
TALLAHASSEE SOUTH DIALYSIS,102765,2410 S ADAMS ST ,TALLAHASSEE,FL,32301,7,Achievement,5,300,556,Achievement,5,5,1010,1090,1090,Achievement,7,9,-,0.09%,1,1085,Achievement,10,Achievement,6,12,8,7,1,-,57,62,Achievement,5,Achievement,10,9,10,-,32,35.243,36,Achievement,5,7,0.746,47.61122519,13,17.431,1.466,Achievement,5,134,108.006,Achievement,5,10,3,-,4,44,1.00%,12/6/1999,DAVITA,11/27/2015
MIAMI REGIONAL DIALYSIS CENTER INC,102766,100 NW 170TH ST STE 106 ,NORTH MIAMI BEACH,FL,33169,7,Achievement,5,444,608,Achievement,5,5,1221,1253,1404,Achievement,7,9,-,0.23%,3,1319,Achievement,10,Achievement,6,12,7,7,5,-,44,42,Achievement,5,Improvement,10,9,10,-,25,26.91,30,Achievement,5,5,0.943,54.73237509,19,20.149,1.526,Achievement,5,136,119.856,Achievement,5,10,0,-,4,63,No Reduction,2/8/2000,AMERICAN RENAL ASSOCIATES,1/2/2006
FMC DIALYSIS SERVICES - FT LAUDERDALE,102767,3863 W BROWARD BLVD ,FT. LAUDERDALE,FL,33312,7,Achievement,5,332,551,Achievement,5,5,996,1027,536,Achievement,7,5,-,1.15%,12,1048,Achievement,10,Achievement,6,12,8,7,6,-,30,38,Achievement,5,Achievement,10,9,10,-,54,35.77,24,Achievement,5,1,1.363,30.34086242,15,11.008,1.135,Achievement,5,138,94.455,Achievement,5,10,0,-,4,47,1.00%,2/9/2000,FRESENIUS MEDICAL CARE,8/26/2015
CENTRAL FLORIDA KIDNEY CENTER - LONGWOOD,102768,745 W SR 434 STE A ,LONGWOOD,FL,32750,7,Achievement,5,129,219,Improvement,5,5,266,298,153,Achievement,7,10,-,0.00%,0,301,Achievement,10,Achievement,6,12,10,7,No Score,5,<11,22,N/A,5,N/A,10,9,10,-,20,14.169,2,Achievement,5,8,0.542,11.29089665,3,4.501,0.217,Achievement,5,44,31.872,Achievement,5,10,3,-,4,39,1.00%,4/3/2000,CENTRAL FLORIDA KIDNEY CENTERS,1/20/2000
RENAL CARE GROUP - NORTH TAMPA,102769,12674 TELECOM DRIVE ,TAMPA,FL,33637,7,Achievement,5,486,824,Achievement,5,5,1289,1334,652,Achievement,7,6,-,0.81%,11,1359,Achievement,10,Achievement,6,12,6,7,No Score,5,27,38,N/A,5,N/A,9,9,10,-,54,43.583,19,Achievement,5,3,1.175,59.1156742,24,20.424,0.965,Achievement,5,166,139.927,Achievement,5,10,0,-,4,41,1.00%,6/9/2000,FRESENIUS MEDICAL CARE,12/15/2015
RCG - BAPTIST NORTH,102770,1040 EAST NINE MILE RD ,PENSACOLA,FL,32514,7,Achievement,5,435,696,Achievement,5,5,935,944,932,Achievement,7,7,-,0.62%,6,973,Achievement,10,Achievement,6,12,6,7,5,-,40,43,Achievement,5,Achievement,10,9,10,-,32,31.015,29,Achievement,5,8,0.571,51.48528405,11,19.253,0.925,Achievement,5,134,110.852,Achievement,5,10,5,-,4,59,No Reduction,6/12/2000,FRESENIUS MEDICAL CARE,11/13/2009
CHIPLEY DIALYSIS,102771,877 3RD STREET STE 2 ,CHIPLEY,FL,32428,7,Achievement,5,259,489,Achievement,5,5,617,624,660,Achievement,7,8,-,0.48%,3,630,Achievement,10,N/A,6,12,,7,1,-,31,47,Achievement,5,Achievement,9,9,10,-,19,22.253,18,Achievement,5,5,1.243,33.48117728,14,11.261,2.231,Improvement,5,74,84.309,Achievement,5,10,7,-,4,59,No Reduction,7/7/2000,DAVITA,6/12/2015
ORLANDO HOME TRAINING DIALYSIS,102772,116 STURTEVANT ST STE 2 ,ORLANDO,FL,32806,7,N/A,5,,,N/A,5,5,492,522,560,Achievement,7,5,-,1.15%,6,523,Achievement,10,N/A,6,,,7,No Score,"6, 10",N/A,N/A,N/A,5,N/A,5,9,10,-,31,15.48,12,Achievement,5,0,3.479,22.39561944,24,6.899,2.175,Achievement,5,73,42.959,Achievement,5,10,No Score,1,4,28,2.00%,8/30/2000,DAVITA,7/17/2009
ST PETERSBURG DIALYSIS,102773,1117 ARLINGTON AVE N ,SAINT PETERSBURG,FL,33705,7,Achievement,5,226,422,Achievement,5,5,753,772,422,Achievement,7,6,-,1.03%,8,773,Achievement,10,Achievement,6,12,7,7,No Score,5,27,34,N/A,5,N/A,7,9,10,-,30,24.497,15,Achievement,5,8,0.63,27.15674196,6,9.522,0.646,Achievement,5,75,77.092,Achievement,5,10,7,-,4,58,0.50%,9/8/2000,DAVITA,10/6/2005
ARA - BOCA RATON DIALYSIS LLC,102774,1905 CLINT MOORE RD STE 211 ,BOCA RATON,FL,33496,7,Achievement,5,607,823,Achievement,5,5,1014,1031,900,Achievement,7,10,-,0.00%,0,1025,Achievement,10,Achievement,6,12,8,7,4,-,43,47,Achievement,5,Achievement,10,9,10,-,34,35.843,30,Achievement,5,5,1.183,33.60711841,15,12.682,1.984,Improvement,5,128,138.592,Achievement,5,9,4,-,4,64,No Reduction,9/22/2000,AMERICAN RENAL ASSOCIATES,12/2/2004
ORANGE CITY DIALYSIS,102775,2575 S VOLUSIA AVE #400 ,ORANGE CITY,FL,32763,7,Achievement,5,307,461,Achievement,5,5,680,708,864,Achievement,7,7,-,0.69%,5,720,Achievement,10,Achievement,6,12,8,7,2,-,42,56,Achievement,5,Achievement,6,9,10,-,53,37.58,40,Achievement,5,4,1.096,30.53251198,13,11.856,0.678,Achievement,5,138,98.536,Improvement,5,10,2,-,4,42,1.00%,11/30/2000,DAVITA,10/6/2005
MIAMI NORTH DIALYSIS,102776,860 NE 125TH ST ,NORTH MIAMI,FL,33161,7,Achievement,5,437,544,Achievement,5,5,939,949,898,Achievement,7,8,-,0.31%,3,968,Achievement,10,Achievement,6,12,6,7,8,-,37,41,Achievement,5,Achievement,10,9,10,-,29,22.767,27,Achievement,5,4,1.049,41.30595483,16,15.247,1.439,Achievement,5,110,98.119,Improvement,5,10,9,-,4,66,No Reduction,10/23/2000,DAVITA,10/6/2005
"PURE LIFE RENAL OF WEST PALM BEACH, LLC",102777,1522 N DIXIE HWY ,WEST PALM BEACH,FL,33401,7,Achievement,5,193,330,Achievement,5,5,330,353,277,Improvement,7,0,-,2.96%,11,371,Achievement,10,Achievement,6,12,5,7,No Score,5,14,24,N/A,5,N/A,9,9,10,-,27,19.286,17,Achievement,5,0,2.266,19.73990418,18,7.263,1.013,Achievement,5,86,48.149,Achievement,5,9,0,-,4,27,2.00%,3/20/2001,OTHER,11/2/2005
FMC DIALYSIS SERVICES - WINTER PARK,102778,6848 ALOMA AVE ,WINTER PARK,FL,32792,7,Achievement,5,301,526,Achievement,5,5,581,585,286,Achievement,7,9,-,0.15%,1,652,Achievement,10,Achievement,6,12,8,7,No Score,5,22,27,N/A,5,N/A,10,9,10,-,16,20.769,11,Achievement,5,5,0.956,26.87200548,9,9.419,0.576,Achievement,5,83,66.77,Achievement,5,10,5,-,4,69,No Reduction,3/2/2001,FRESENIUS MEDICAL CARE,2/2/2005
BRANDON EAST DIALYSIS,102779,114 E BRANDON BLVD ,BRANDON,FL,33511,7,Achievement,5,448,677,Achievement,5,5,1544,1562,1625,Achievement,7,8,-,0.56%,9,1605,Improvement,10,Achievement,6,12,6,7,0,-,45,73,Achievement,5,Achievement,10,9,10,-,49,43.411,68,Achievement,5,7,0.744,66.62286105,17,22.852,1.185,Achievement,5,183,160.81,Achievement,5,10,2,-,4,51,0.50%,4/4/2001,DAVITA,10/6/2005
UNIVERSAL KIDNEY CENTER OF BOYNTON BEACH,102782,4895 WINDWARD PASSAGE DR STE 5 ,BOYNTON BEACH,FL,33436,7,Achievement,5,101,229,Achievement,5,5,239,295,341,Achievement,7,9,-,0.34%,1,295,Improvement,10,Achievement,6,3,0,7,0,-,N/A,N/A,Achievement,5,Achievement,5,9,10,-,15,10.464,19,Improvement,5,1,2.855,18.30527036,21,6.069,3.185,Improvement,5,53,34.346,Improvement,5,5,0,-,4,14,2.00%,5/15/2001,NOT A CHAIN,8/2/2008
MIAMI EAST DIALYSIS,102784,1250 NW 7TH ST STE 106 ,MIAMI,FL,33125,7,Achievement,5,370,510,Achievement,5,5,709,717,802,Achievement,7,8,-,0.42%,3,722,Achievement,10,Achievement,6,12,10,7,6,-,39,47,Achievement,5,Achievement,10,9,10,-,12,9.989,15,Achievement,5,7,0.709,38.53524983,9,12.686,0.659,Achievement,5,73,67.958,Achievement,5,10,4,-,4,69,No Reduction,6/13/2001,DAVITA,10/6/2005
CENTRAL FLORIDA KIDNEY CENTER - WINTER GARDEN,102786,741 S DILLARD ST ,WINTER GARDEN,FL,34787,7,N/A,5,,,N/A,5,5,193,202,243,Achievement,7,10,-,0.00%,0,202,Achievement,10,Achievement,6,12,10,7,No Score,10,<11,<11,N/A,5,N/A,No Score,9,10,-,4,4.029,12,Improvement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,28,15.637,Achievement,5,10,4,-,4,67,No Reduction,11/21/2001,CENTRAL FLORIDA KIDNEY CENTERS,2/15/2016
RENAL CARE GROUP - CLERMONT,102787,312 MOWHAWK RD ,CLERMONT,FL,34715,7,Achievement,5,333,647,Achievement,5,5,693,710,321,Achievement,7,6,-,1.06%,9,852,Achievement,10,Achievement,6,12,8,7,8,-,33,39,Achievement,5,Achievement,10,9,10,-,52,34.322,22,Achievement,5,4,1.263,36.87063655,19,15.048,1.872,Improvement,5,131,92.901,Achievement,5,10,2,-,4,52,0.50%,1/3/2002,FRESENIUS MEDICAL CARE,11/2/2005
FORT MYERS NORTH DIALYSIS,102788,16101 NORTH CLEVELAND AVE ,FORT MYERS,FL,33903,7,Achievement,5,288,439,Achievement,5,5,639,641,317,Achievement,7,10,-,0.00%,0,630,Achievement,10,Achievement,6,12,8,7,7,-,38,47,Achievement,5,Achievement,10,9,10,-,21,19.922,4,Achievement,5,10,0.287,25.07323751,3,10.462,0.794,Achievement,5,55,75.113,Achievement,5,10,9,-,4,81,No Reduction,12/28/2001,DAVITA,11/5/2005
KIDNEY TREATMENT CENTER OF SOUTH FLORIDA,102789,13500 N KENDALL DR #131 ,MIAMI,FL,33186,7,Achievement,5,313,427,Achievement,5,5,964,980,1109,Achievement,7,9,-,0.10%,1,984,Achievement,10,Achievement,6,12,6,7,10,-,38,53,Achievement,5,Achievement,9,9,10,-,38,27.906,35,Achievement,5,6,1.274,45.3798768,19,14.911,2.554,Improvement,5,124,88.495,Achievement,5,10,7,-,4,64,No Reduction,1/2/2002,NOT A CHAIN,2/16/2006
PERRY DIALYSIS,102790,118 WEST MAIN ,PERRY,FL,32347,7,Achievement,5,153,198,Achievement,5,5,302,305,284,Achievement,7,7,-,0.63%,2,316,Achievement,10,Improvement,6,12,9,7,No Score,10,17,22,N/A,5,N/A,10,9,10,-,6,4.276,3,Achievement,5,0,1.819,14.47501711,14,5.486,0.453,Achievement,5,23,35.755,Achievement,5,10,9,-,4,74,No Reduction,2/22/2002,DAVITA,9/29/2007
FMC - VENICE,102791,1120 INDIAN HILLS BLVD ,VENICE,FL,34293,7,Achievement,5,387,620,Achievement,5,5,927,942,469,Achievement,7,8,-,0.32%,3,946,Achievement,10,Achievement,6,12,7,7,5,-,33,38,Achievement,5,Achievement,10,9,10,-,31,30.878,11,Achievement,5,1,1.375,38.46680356,21,15.275,0.838,Achievement,5,105,105.165,Achievement,5,10,9,-,4,57,0.50%,3/13/2002,FRESENIUS MEDICAL CARE,1/1/2013
